f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
5253577,50935.05421567412,1.0,0.0,0.875,9.092417362510059,0.749161668633279,0.6583674632191845,0.9651046937268856,0.6156666669959359,0.5126839602099816,0.4636751001525189,0.6988367356972381,0.5397271259381348,0.49648666381500983,0.7114511488077927,0.0,0.009999999999999997
5253613,50935.05421567412,1.0,0.0,0.875,7.6420967799549615,0.7640133468637657,0.6447283991517894,0.9652939135418865,0.6049251574450546,0.5073832606741027,0.54348999838075,0.7057150460311672,0.5535507483003711,0.5101220174843086,0.7202729584921442,0.0,0.020000000000000035
5253940,50935.05421567412,1.0,0.0,0.875,7.997164641323261,0.7445948155179153,0.6364941577936459,0.965060355391735,0.6034940430599836,0.5210699751871275,0.5583974676742371,0.70923399385189,0.5544723696932796,0.5227820809369891,0.7211673972576335,0.0,0.06850000000000009
5253977,50935.05421567412,1.0,0.0,0.875,7.874158911890898,0.7464538590725598,0.6612495943410563,0.9655626696557977,0.6041270407652857,0.5174941150329458,0.539172543647794,0.7090277569618495,0.5546668219956528,0.5207460252701945,0.7252201389803389,0.0,0.020000000000000035
5254287,50935.05421567412,1.0,0.0,0.875,8.239499082019517,0.7383840197852783,0.6474377313382578,0.9650484758223429,0.6045848186998309,0.5194153920338384,0.5370898349891317,0.7094565903030117,0.5565002387757344,0.5108247747174461,0.7204677180348226,0.0,0.020000000000000046
5254326,50935.05421567412,1.0,0.0,0.875,7.870404253995602,0.7622317212973792,0.6656695277213018,0.966230762828929,0.6018915768567392,0.5194851298579803,0.5553297271673034,0.7092746418062884,0.5527122456907116,0.5123824522975972,0.7190764188859432,0.0,0.020000000000000046
5254614,50935.05421567412,1.0,0.0,0.875,7.98817568688139,0.7730516785266344,0.6173228350158679,0.9647271884254959,0.6000429780261869,0.5223264607863258,0.5618244060939314,0.7092287178811443,0.5597017326596303,0.5206611561062303,0.7222612056357752,0.0,0.020000000000000046
5254651,50935.05421567412,1.0,0.0,0.875,7.298015410101486,0.7727810710623166,0.6400835494005683,0.9642003557689405,0.5982924547397471,0.5140548252278077,0.5581788319462734,0.7092219147421195,0.5580668235165421,0.5140162251282714,0.7206226763592017,0.0,0.020000000000000046
5254913,50935.05421567412,1.0,0.0,0.875,7.5010172167879325,0.7763712002108033,0.6295537432826346,0.9630953990622626,0.6002015634984845,0.5150194182144487,0.5626027983720125,0.7092012274905132,0.5656047725118295,0.5147722355967774,0.7245818728930071,0.0,0.020000000000000035
5254950,50935.05421567412,1.0,0.0,0.875,7.595771405966891,0.7763105487628233,0.6330046031387542,0.9632108212261341,0.6000572185096086,0.5097570680179908,0.5600552893721151,0.7089855236539164,0.5537542011186578,0.5186999318848069,0.7199683492680994,0.0,0.020000000000000035
5254976,50935.05421567412,1.0,0.0,0.875,8.026513258095076,0.775806088078538,0.6365340403604007,0.9653274816130624,0.6032915102297208,0.5116797861638153,0.5476408929450866,0.7095582898142796,0.550395452039704,0.5170190048076565,0.7232809316685397,0.0,0.020000000000000035
5255246,50935.05421567412,1.0,0.0,0.875,7.983413219640565,0.7674020957879311,0.6254559611537805,0.9631657424759129,0.6029033787025098,0.512552217034779,0.5543575513676898,0.7093812229115385,0.54782958426245,0.5158705722499229,0.7231351699647646,0.0,0.020000000000000035
5255283,50935.05421567412,1.0,0.0,0.875,7.942447992415918,0.7723765183280232,0.6397147249481722,0.9652673558390439,0.6042625556810182,0.5111231948629343,0.5443322934109273,0.7093898708638344,0.5465752231120492,0.5158395001115598,0.7239901480419995,0.0,0.020000000000000035
5255585,50934.880976639026,1.0,0.0,0.875,7.476555854496652,0.7797905326272949,0.6330256917554993,0.9636222104971363,0.6009865282001683,0.5115787215324632,0.5523244398681639,0.7089456711329042,0.5571689877556122,0.5035634718166986,0.7126143252547951,0.0,0.020000000000000046
5255735,50934.37665845721,1.0,0.0,0.875,7.297308136617204,0.7939010861274945,0.6137082534374855,0.9622857168066383,0.5999395822683473,0.5159206975684508,0.5663912868367169,0.7086582696344272,0.5653772766099056,0.5218616715329909,0.7213726086514026,0.0,0.020000000000000042
5256199,50931.183965539014,1.0,0.0,0.875,7.546471661524048,0.7886880878926958,0.6122455187195829,0.962559954185606,0.6008053320246759,0.5046625888686931,0.5651983376388757,0.708678905474905,0.5655326529417057,0.5162274691643677,0.7275327178042049,0.0,0.020000000000000042
5256563,50931.58442008447,1.0,0.0,0.875,7.216743076866207,0.7828509423884809,0.6010661678998727,0.9624328946182968,0.6016180606231047,0.523470825445223,0.5617043700739188,0.7086952433705901,0.5712427861561651,0.5247622503031257,0.7350852370038579,0.0,0.025000000000000046
5256602,50931.116130041184,1.0,0.0,0.875,7.179321186222477,0.7877780956811204,0.6162815623841932,0.9616948496405195,0.598832482091989,0.5191506526053635,0.5536866391700832,0.7086508693469248,0.5718518008899487,0.5206550884911605,0.7227842143981611,0.0,0.025000000000000046
5256924,50933.301324846376,1.0,0.0,0.875,7.100353388136283,0.7968002229679382,0.614281473250147,0.9622515517607313,0.5993589126537116,0.5267181972320991,0.5570451909468782,0.7086536353012225,0.5732762778076727,0.5247463177521249,0.7219342139344408,0.0,0.020000000000000046
5256963,50934.582077371626,1.0,0.0,0.875,7.527968566901977,0.7945900782876504,0.6450884205440794,0.9608931316723319,0.5985485522066195,0.5331751067114354,0.5499130718970288,0.7088097607392547,0.5757171862362235,0.525208601305996,0.7294772112265825,0.0,0.020000000000000046
5257322,50933.85716665734,1.0,0.0,0.875,7.834841279534594,0.7730132201605637,0.6312048708735273,0.9635559369965759,0.6011654276434338,0.51851431390182,0.5662255973035951,0.7089346377149895,0.5667632194467,0.5249934730476484,0.722530061027293,0.0,0.020000000000000046
5257341,50934.75283332401,1.0,0.0,0.875,7.593301018951749,0.7796794780755263,0.6328861034411529,0.9639500767868069,0.6012445950598627,0.5135925055299011,0.5526334728172162,0.7089229060755668,0.5552054437938972,0.5102907656394341,0.7186536258596021,0.0,0.020000000000000046
5257360,50932.81958332401,1.0,0.0,0.875,7.342782736395441,0.7798291451305354,0.633698602765528,0.9641899192862456,0.6029636475410837,0.499786253968883,0.5576312972862593,0.7092451146122322,0.5448294487946002,0.4967158299565559,0.7159102198463501,0.0,0.020000000000000046
5257697,50934.29283332401,1.0,0.0,0.875,7.551615706774935,0.7681903694965029,0.6253245258444439,0.9650641233597161,0.6011003748582875,0.5131469345627777,0.5682286258475203,0.7092711292770866,0.5665769043731688,0.5055172284141976,0.7230041148973315,0.0,0.020000000000000046
5257734,50934.29283332401,1.0,0.0,0.875,7.156224810090778,0.7796307870624536,0.6447939745444472,0.9643062580977013,0.5986594919862238,0.5093247165420122,0.5527314219579129,0.70924672354845,0.5588100847424899,0.5055751509333778,0.7252119298624131,0.0,0.020000000000000046
5258019,50934.04664014219,1.0,0.0,0.875,6.9456727858042795,0.7736630857606668,0.6200042029206845,0.9624404263839214,0.601589791663475,0.5179311009685524,0.5601578321797566,0.7086561959439638,0.5627463346179415,0.5226509740066206,0.7218843703224094,0.0,0.020000000000000046
5258081,50933.212417919975,1.0,0.0,0.875,7.2857992752109935,0.7850600136561962,0.6121612333322861,0.961397322245659,0.60216039244381,0.5137240118762685,0.5648827935843751,0.7086610845817687,0.5719321010611097,0.5019985799207943,0.7195363811800968,0.0,0.020000000000000046
5258329,50931.5211473572,1.0,0.0,0.875,7.035447998465392,0.7728698571549466,0.6284438048692508,0.9633252604751088,0.6035885515274118,0.5120708488215379,0.550708914888023,0.7086904075398672,0.560347939757573,0.5057592742943878,0.7221214517411192,0.0,0.025000000000000046
5258704,50931.9811473572,1.0,0.0,0.875,6.772133527788618,0.7829043123890075,0.6279382294337874,0.9631616099425659,0.6042359059269498,0.5156323735924289,0.5514039898288534,0.708676596446429,0.5679037599000268,0.5096090175273843,0.7198438310239911,0.0,0.020000000000000046
5258744,50932.07038545244,1.0,0.0,0.875,7.071242071815561,0.7854273913651929,0.6384578033974212,0.9645102226958508,0.6043704357296293,0.5148327412932168,0.546573477544706,0.7089814587291356,0.5666292458434796,0.5006624610434548,0.7246321616461211,0.0,0.020000000000000046
5259100,50932.12018848274,1.0,0.0,0.875,6.847740225318624,0.7874792436912582,0.6421633692887785,0.9639459740015739,0.5996366689856248,0.5255054048035471,0.5582188501432753,0.7089834095903607,0.5776847295327008,0.52695205896965,0.7232007480306779,0.0,0.020000000000000046
5259137,50933.426791657344,1.0,0.0,0.875,7.202180574843407,0.7814155963683947,0.6407087335589613,0.963601002324537,0.6025559425621465,0.5219207282599523,0.5534767964434623,0.7089248050003528,0.571467817335307,0.5267063488331325,0.7255963970501315,0.0,0.020000000000000046
5259432,50933.98449999068,1.0,0.0,0.875,7.968355650563211,0.784804843855198,0.6358933941342328,0.9622623438548157,0.6000973250126305,0.5228804562170697,0.5559447115849483,0.7089003880369802,0.5643809687223115,0.5233728064866523,0.7236989870994325,0.0,0.010000000000000005
5259469,50933.98449999068,1.0,0.0,0.875,7.511054914739736,0.7829120721130985,0.6372632339227199,0.9620751240537293,0.6000507048263384,0.5156029379611924,0.5558586603934209,0.708919169608686,0.5657395305460204,0.5167655229084219,0.7249515390158455,0.0,0.020000000000000046
5259961,50933.98449999068,1.0,0.0,0.875,7.978771055220694,0.7787750179214933,0.6112827504748453,0.9628860717742285,0.5985817783286664,0.5192196211672845,0.5667285476098545,0.7092811697967761,0.558093605105865,0.5145023047929527,0.7214997056457275,0.0,0.020000000000000046
5260002,50933.98449999068,1.0,0.0,0.875,7.691861186851198,0.7712053378577165,0.6600919936560948,0.9638901029278394,0.5989523901551866,0.5213421107477297,0.5628239767576141,0.7092504489070302,0.562765246165547,0.5174959920981985,0.7220596479646554,0.0,0.010000000000000007
5260240,50933.98449999068,1.0,0.0,0.875,7.4976245305659655,0.7739250134033993,0.6448011826528185,0.9651667140292188,0.5983906871185075,0.515930340596413,0.55843884240352,0.7092476782595479,0.5562639857941162,0.5054344782375013,0.7177997707842534,0.0,0.010000000000000007
5260333,50933.98449999068,1.0,0.0,0.875,7.4601590387456,0.7797280589104237,0.6461008145323988,0.9651442164361845,0.5994154408571529,0.5184920532198883,0.5553531684001317,0.7092440869405215,0.5542305983207535,0.5177540119612175,0.7231264861440581,0.0,0.010000000000000007
5260372,50933.16454575727,1.0,0.0,0.875,7.336177248270295,0.7745136888035004,0.6670914874565479,0.9656620248016293,0.6008544894946706,0.5026088771540238,0.5554821860712857,0.7092488155018312,0.5607399096252934,0.5146691173230747,0.7140326974186809,0.0,0.020000000000000046
5260794,50930.60663220569,1.0,0.0,0.875,7.0543365252294405,0.7652722775427072,0.6391780389725709,0.964763391413788,0.6031599639308749,0.5120069030932717,0.5609129775317563,0.7089412708265213,0.5517629788863329,0.5134337963843832,0.715864558869002,0.0,0.020000000000000046
5260853,50930.60663220569,1.0,0.0,0.875,6.919150597167434,0.7806220765911747,0.6217969271959692,0.9617483319068599,0.6024951677702263,0.5185870765170445,0.5511968358664557,0.7089216583924096,0.5557660683686653,0.5080884154584523,0.7156384554661611,0.0,0.020000000000000046
5296105,50930.044561859366,1.0,0.0,0.875,7.233449401272023,0.7651787521071973,0.6286870132506985,0.9619107324573001,0.6036899948594727,0.5023034100409405,0.5510829512599463,0.7092948641122582,0.5496983591443523,0.5122472344690938,0.7242294174858677,0.0,0.02000000000000003
5297779,50931.018622465424,1.0,0.0,0.875,6.8628579599154715,0.7616265021183332,0.6257856247694158,0.9630183684996867,0.6008646672407898,0.5153515761816638,0.5732978756471696,0.7087352473206079,0.550610986244779,0.5081613130469167,0.7123296042532792,0.0,0.020000000000000035
